geneID	chr	start	end
140up	NC_045757.1	34710239	34711211
ACP	NC_045761.1	12164664	12165283
APOOL	NC_045758.1	14224640	14227663
ARPC4	NC_045760.1	8878303	8880763
Abtb2	NC_045759.1	21779517	21787449
Acads	NC_045759.1	6015472	6017400
Acox3	NC_045758.1	6340940	6349390
Acpr	NC_045758.1	30113544	30135315
Adat2	NC_045760.1	4914096	4916944
Adat3	NC_045760.1	9667148	9673836
Adipor1	NC_045761.1	4020795	4025565
Admp	NC_045758.1	26571825	26574441
Ahcy	NC_045757.1	32980641	32983102
Akhr	NC_045760.1	15363166	15374594
Alkbh7	NC_045761.1	22964928	22967032
Ammecr1	NW_022279640.1	298722	407724
Ankrd40	NC_045759.1	4671562	4672848
Anxb11	NC_045761.1	2183487	2187442
Ap2a2	NC_045759.1	17487107	17494617
Apip	NC_045759.1	3826509	3828587
Arp1	NC_045759.1	3976248	4012275
Arp11	NC_045760.1	19179851	19181617
Arpc2	NC_045758.1	20527792	20529972
Atg4	NC_045760.1	5392357	5395753
Atg9	NW_022279591.1	3391330	3622231
Atp13a1	NC_045760.1	14090928	14096733
Atp5a1	NC_045759.1	2665095	2668899
Atp5b	NC_045761.1	8578257	8581179
Atp5c1	NC_045760.1	14926461	14928611
Atp5d	NC_045760.1	11813499	11815617
Atp5e	NC_045757.1	10666279	10667671
Atp5f1	NC_045761.1	21938163	21940353
Atp5g2	NC_045759.1	24199094	24203389
Atp5h	NC_045761.1	2874395	2875542
Atp5i	NC_045761.1	2492500	2493720
Atp5j	NC_045760.1	15264249	15265646
Atp5j2	NC_045760.1	21234764	21235861
Atp5l	NC_045758.1	26552771	26553734
Atp5o	NC_045759.1	24055996	24057323
Atp7a	NC_045758.1	1563776	1568245
B3gat	NC_045757.1	34539791	34544181
Beat-ic	NC_045761.1	12800161	12820798
Bgb	NC_045760.1	18657207	18664105
Bora	NC_045757.1	17301196	17305568
Brd8	NW_022279641.1	223486	227764
Burs	NW_022279588.1	2136562	2350363
C1q-VP	NC_045761.1	10259204	10264362
CCE-A3	NC_045759.1	1574751	1577106
CCE-A4	NC_045757.1	28495797	28500511
CCE-A5	NC_045761.1	11160435	11164059
CCE-A6	NC_045761.1	11164221	11169200
CCE-A8	NC_045757.1	28513235	28516384
CCE-A9	NC_045757.1	28505760	28509553
CCE-B2	NC_045757.1	20597550	20602207
CCE-B6	NW_022279623.1	859797	863444
CCE-D4	NC_045761.1	27496343	27499060
CCE-D5	NC_045761.1	27499916	27502231
CCE-E10	NC_045758.1	22176776	22181831
CCE-E11	NC_045758.1	22183188	22185843
CCE-E7	NC_045758.1	25466503	25468699
CLGC1	NC_045758.1	2718318	2725594
CPLCP1	NC_045760.1	30246934	30250872
CPLCP2	NC_045761.1	3283598	3285773
CPLCP3	NC_045757.1	704123	706018
CPR1	NC_045761.1	1511286	1520630
CPR10	NC_045761.1	1548313	1549235
CPR13	NC_045761.1	1558843	1559849
CPR14	NC_045761.1	1561116	1561958
CPR15	NC_045761.1	1563248	1564223
CPR16	NC_045757.1	13434376	13436946
CPR18	NC_045757.1	13391351	13394574
CPR19	NC_045757.1	13363674	13379165
CPR20	NC_045757.1	13357137	13358487
CPR22	NC_045758.1	25824557	25827110
CPR23	NC_045761.1	4483644	4493829
CPR29	NC_045758.1	21831268	21832072
CPR3	NC_045761.1	1530663	1531757
CPR34	NC_045758.1	22441463	22444911
CPR35	NC_045759.1	16705173	16708093
CPR37	NC_045759.1	15423485	15429114
CPR39	NC_045758.1	30243377	30243840
CPR4	NC_045761.1	1532614	1533574
CPR40	NC_045758.1	30245683	30246527
CPR43	NC_045757.1	18559541	18562636
CPR44	NC_045757.1	18460814	18463646
CPR45	NC_045757.1	18433308	18435075
CPR46	NC_045757.1	22583155	22583975
CPR47	NC_045757.1	22600013	22602814
CPR48	NC_045757.1	21449980	21450706
CPR49	NC_045759.1	12468609	12469983
CPR5	NC_045761.1	1534349	1535251
CPR53	NC_045758.1	33208742	33212216
CPR54	NC_045759.1	17675179	17676024
CPR57	NC_045757.1	27682069	27682777
CPR59	NC_045761.1	1513349	1514433
CPR6	NC_045761.1	1536281	1537006
CPR7	NC_045761.1	1538598	1539829
CPR8	NC_045761.1	1543463	1544479
CPR9	NC_045761.1	1545560	1546681
CYP314A1	NC_045760.1	16000156	16016255
CYP336B1	NC_045758.1	14900589	14902246
CYP4AB12	NC_045759.1	19169218	19174804
CYP4AB14	NC_045758.1	24976969	24979560
CYP4AB15	NC_045758.1	15955038	15957688
CYP4AB17	NC_045757.1	2287342	2290200
CYP4AB18	NC_045759.1	15360049	15362742
CYP4AB21	NC_045759.1	163733	178404
CYP4AB23	NC_045757.1	37239948	37243119
CYP4AB4	NC_045760.1	1518423	1521426
CYP4AB6	NC_045757.1	6261108	6264050
CYP4AB8	NC_045759.1	23726617	23729688
CYP4AB9	NC_045760.1	8320332	8323503
CYP4BW5	NC_045758.1	14922647	14931231
CYP4G43	NC_045759.1	22327308	22331420
CYP4G44	NC_045757.1	13497842	13502045
CYP6AQ4	NC_045758.1	23413464	23417521
CYP6AQ5	NC_045758.1	23418219	23421116
CYP6AQ8	NC_045758.1	34690342	34692360
CYP6AQ9	NW_022279596.1	1199301	1203091
CYP6AS28P	NC_045761.1	18342942	18345009
CYP6AS30	NC_045761.1	7768252	7783176
CYP6AS31	NC_045757.1	29635793	29643941
CYP6AS33	NC_045757.1	19808727	19811384
CYP6BD2	NC_045761.1	6195809	6198812
CYP6CK10	NC_045759.1	10858206	10861154
CYP6CK11	NC_045759.1	10863259	10866018
CYP6CK13P	NC_045759.1	1568000	1569168
CYP6CK3	NC_045759.1	6246243	6249324
CYP6CK6	NC_045757.1	28502393	28504885
CYP6CK7	NC_045757.1	27213614	27216118
CYP6CK8	NC_045759.1	2587824	2589805
CYP9AG3	NC_045761.1	27478953	27480672
CYP9AG4	NC_045761.1	27481471	27483272
CYP9AG6	NC_045760.1	31264230	31266265
CYP9AG7	NC_045761.1	20633128	20634821
CYP9AG8P	NC_045757.1	30582399	30583581
CYP9AH2	NC_045757.1	7096061	7097901
CYP9AH4	NC_045757.1	7089584	7090234
CYP9AH6	NC_045757.1	5984272	5985961
CYP9P3	NC_045761.1	19041358	19043179
CYP9P4	NC_045761.1	18836838	18839052
CYP9P5	NC_045761.1	18827841	18831448
Cad	NC_045759.1	18083246	18089681
Cbp	NC_045758.1	13605458	13610893
Cc2d1	NC_045758.1	33088346	33093038
Ccdc86	NC_045759.1	1995950	1997103
Cct7	NC_045757.1	3553199	3556228
Cctgamma	NW_022279646.1	134179	226219
Cdk1	NC_045759.1	10023247	10025623
Cdk10	NC_045760.1	14683240	14685432
Cdk2	NC_045757.1	130298	132105
Cdk4	NC_045760.1	1730262	1734835
Cdk5	NC_045759.1	18123974	18127049
Cenp-a	NC_045757.1	377913	379249
Chordc1	NC_045760.1	23002362	23004370
Cht5	NW_022279623.1	3680564	3692235
Cin	NC_045760.1	26188572	26191959
Ckiialpha	NC_045761.1	18361729	18372641
Cnpy2	NC_045759.1	21741929	21743223
Cox15	NW_022279588.1	4580275	4787009
Cox4I1	NC_045758.1	2697906	2700112
Cox5a	NC_045760.1	29960472	29964610
Cox5b	NC_045757.1	30324035	30326229
Cox6a1	NC_045758.1	22337935	22339189
Cox6b1	NC_045757.1	412768	416735
Cox6c	NC_045760.1	7607302	7608343
Cox7a1	NC_045760.1	5587859	5588909
Cox7c	NW_022279652.1	3458912	3525852
Cpap3-a1	NC_045761.1	9720643	9723180
Cpap3-a2	NC_045761.1	9715690	9718802
Cpap3-b	NC_045761.1	9724186	9728232
Cpap3-d1	NC_045761.1	9712160	9714929
Cpap3-d2	NC_045761.1	9694229	9712601
Cpap3-e	NC_045757.1	32832706	32837039
Crc	NW_022279587.1	565558	639420
Crcp	NC_045758.1	10797792	10801714
Creb	NC_045761.1	7307125	7313722
Crl	NC_045761.1	11878181	11881956
Csnk1e	NC_045759.1	10741158	10758150
Ctps	NC_045758.1	27849519	27852901
Cwf19l1	NC_045759.1	3828700	3830467
Cyb561d1-like	NC_045759.1	22462786	22469102
Cyc1	NC_045761.1	18558822	18564073
Cyc1l	NC_045757.1	2301631	2303216
Cyp303a1	NC_045757.1	14725315	14730216
Cypl	NC_045757.1	10241757	10245168
DLC-A	NC_045757.1	10674665	10677944
Daam	NC_045757.1	18805105	18886083
Dcst1	NC_045760.1	5599681	5603166
Dctn2	NC_045757.1	2231549	2234478
Dctn3	NC_045760.1	29693042	29696420
Dctn4	NW_022279623.1	430118	432732
